1	187
2	163
2	196
3	231
3	247
5	15
5	257
5	267
7	73
11	316
13	216
14	201
15	3
16	21
17	181
18	148
18	167
19	170
20	139
23	242
23	286
24	323
27	322
28	180
31	290
33	162
34	38
34	51
34	148
34	149
35	55
36	37
36	141
41	254
42	194
43	159
43	301
44	151
45	301
46	134
46	276
47	127
49	160
50	263
50	288
50	291
52	243
57	217
58	172
59	38
59	140
61	53
62	164
63	39
64	204
66	280
67	265
67	280
68	78
69	279
70	312
71	209
71	230
74	213
75	209
75	230
76	78
77	255
79	88
81	119
83	82
84	305
85	185
85	280
86	143
87	182
88	270
89	115
89	215
89	228
90	96
90	115
90	121
90	125
90	281
90	297
91	144
92	284
93	227
93	318
95	135
95	202
95	209
95	222
95	280
97	106
97	315
99	10
100	191
104	116
105	191
106	315
107	22
107	287
108	313
109	243
109	314
110	133
111	197
112	209
112	280
113	142
117	230
118	195
120	208
120	261
123	56
124	122
125	128
126	29
130	72
131	153
137	316
138	145
146	65
146	150
147	29
154	134
154	222
157	158
165	113
166	256
168	256
169	287
171	103
172	176
173	127
175	277
176	177
176	192
178	113
183	48
183	185
184	145
184	247
186	155
188	237
189	25
193	309
198	199
200	60
200	159
201	8
203	65
205	231
206	281
207	83
210	280
211	114
212	133
214	161
218	21
219	54
220	122
221	236
223	301
224	323
225	156
226	114
229	51
231	232
232	3
233	80
234	69
235	84
238	174
239	261
240	152
240	269
244	84
245	167
246	319
248	12
249	310
250	284
251	80
252	26
252	278
253	275
255	261
257	3
258	291
259	284
260	132
262	144
264	316
266	310
267	3
267	241
268	32
271	129
272	276
273	267
274	6
282	225
283	179
285	209
285	309
286	242
289	135
289	209
289	230
292	30
293	122
294	2
295	312
296	23
296	101
296	102
296	144
298	321
299	195
300	136
302	278
303	94
303	209
303	265
304	114
306	310
307	4
307	98
307	228
307	290
308	316
311	132
314	106
315	314
317	159
317	190
320	9
324	40
