Source,Target,Type,Id,Label,timeset,Weight
289,230,Undirected,211,,,1
292,30,Undirected,212,,,1
293,122,Undirected,213,,,1
294,2,Undirected,214,,,1
295,312,Undirected,215,,,1
296,23,Undirected,216,,,1
296,101,Undirected,217,,,1
296,102,Undirected,218,,,1
296,144,Undirected,219,,,1
298,321,Undirected,220,,,1
299,195,Undirected,221,,,1
300,136,Undirected,222,,,1
302,278,Undirected,223,,,1
303,94,Undirected,224,,,1
303,209,Undirected,225,,,1
303,265,Undirected,226,,,1
304,114,Undirected,227,,,1
306,310,Undirected,228,,,1
307,4,Undirected,229,,,1
307,98,Undirected,230,,,1
307,228,Undirected,231,,,1
307,290,Undirected,232,,,1
308,316,Undirected,233,,,1
311,132,Undirected,234,,,1
314,106,Undirected,235,,,1
315,314,Undirected,236,,,1
317,159,Undirected,237,,,1
317,190,Undirected,238,,,1
320,9,Undirected,239,,,1
324,40,Undirected,240,,,1
