20,33879,1,3525,1,180
20,6.725e+05,1,94108,1,332
20,6.9782e+05,1,98013,1,338
20,8.3866e+05,1,1.2103e+05,1,398
20,8.8535e+05,1,1.2961e+05,1,420
20,1.3314e+06,1,1.594e+05,1,482
20,1.3794e+06,1,1.7081e+05,1,499
24,1.2852e+06,2,1.499e+05,2,461
25,7.6179e+05,3,1.0863e+05,3,354
25,8.2425e+05,3,1.1868e+05,3,385
28,5.5062e+05,4,76225,4,305
28,5.7078e+05,4,79053,4,307
28,5.7207e+05,4,79234,4,308
28,6.994e+05,4,98236,4,340
28,7.2329e+05,4,1.0234e+05,4,345
28,1.4355e+06,4,1.8348e+05,4,520
28,1.4966e+06,4,1.9637e+05,4,542
35,7.8983e+05,5,1.1322e+05,5,369
39,7.635e+05,6,1.0897e+05,6,358
44,8.5454e+05,7,1.2366e+05,7,403
44,1.2709e+06,7,1.4684e+05,7,456
52,9.0209e+05,8,1.3095e+05,8,423
75,23144,9,2226,9,163
75,25518,9,2498,9,166
75,84407,9,10874,9,210
75,4.7486e+05,9,65284,9,287
75,8.3622e+05,9,1.2065e+05,9,397
75,1.2413e+06,9,1.4082e+05,9,444
75,1.3627e+06,9,1.6705e+05,9,495
75,1.46e+06,9,1.8932e+05,9,528
75,1.5023e+06,9,1.9761e+05,9,545
86,5.2283e+05,10,72596,10,300
89,8.6754e+05,11,1.2615e+05,11,413
93,2.2687e+05,12,31299,12,251
105,2.5384e+05,13,34633,13,259
110,38386,14,4072,14,189
197,1769,15,130,15,128
197,31178,15,3187,15,174
210,89887,16,11788,16,211
213,1.3432e+06,17,1.6229e+05,17,487
213,1.3796e+06,17,1.7087e+05,17,501
215,1.2676e+06,18,1.4611e+05,18,454
220,5941,19,516,19,140
220,1.2999e+06,19,1.5279e+05,19,470
230,2.5648e+05,20,34957,20,260
252,38974,21,4153,21,191
252,46178,21,4968,21,204
252,2.4001e+05,21,32966,21,256
252,6.9794e+05,21,98033,21,339
252,8.0813e+05,21,1.1615e+05,21,376
252,8.6011e+05,21,1.2472e+05,21,405
252,1.3454e+06,21,1.6286e+05,21,489
257,3.7653e+05,22,53494,22,272
257,3.9743e+05,22,55966,22,276
257,3.9788e+05,22,56010,22,277
257,4.0875e+05,22,57413,22,280
257,1.3639e+06,22,1.6735e+05,22,496
273,21095,23,1968,23,160
273,2.4354e+05,23,33449,23,257
273,7.1311e+05,23,1.0041e+05,23,343
273,8.6676e+05,23,1.26e+05,23,410
273,9.0466e+05,23,1.3105e+05,23,424
273,1.3113e+06,23,1.551e+05,23,474
273,1.4719e+06,23,1.9172e+05,23,531
273,1.4859e+06,23,1.9418e+05,23,536
279,1.7572e+05,24,25086,24,229
279,2.113e+05,24,29297,24,242
283,1.809e+05,25,25695,25,230
283,1.8668e+05,25,26380,25,233
283,1.8873e+05,25,26644,25,234
283,3.6309e+05,25,52061,25,270
283,6.9382e+05,25,97496,25,337
283,7.653e+05,25,1.0931e+05,25,361
283,8.0068e+05,25,1.1493e+05,25,373
283,8.3332e+05,25,1.202e+05,25,393
283,1.3421e+06,25,1.6202e+05,25,485
288,27781,26,2750,26,170
318,1.503e+05,27,21395,27,222
318,1.4307e+06,27,1.8245e+05,27,518
322,25482,28,2496,28,165
336,3.5999e+05,29,51719,29,269
342,5.1919e+05,30,72049,30,299
342,8.183e+05,30,1.1772e+05,30,382
347,43991,31,4702,31,201
347,1.3248e+06,31,1.5797e+05,31,481
384,7.6239e+05,32,1.0876e+05,32,355
384,8.345e+05,32,1.2038e+05,32,396
424,3.871e+05,33,54669,33,273
424,3.9492e+05,33,55636,33,275
424,4.0487e+05,33,56907,33,279
424,1.3913e+06,33,1.7346e+05,33,505
445,7032,34,601,34,141
445,12443,34,1035,34,150
445,7.6952e+05,34,1.1016e+05,34,362
445,1.4021e+06,34,1.759e+05,34,511
467,1.3794e+06,35,1.7082e+05,35,500
484,1756,36,127,36,127
512,7637,37,647,37,142
512,8.2899e+05,37,1.194e+05,37,387
603,1832,38,138,38,129
603,19085,38,1700,38,159
603,1.316e+06,38,1.5607e+05,38,476
613,13865,39,1140,39,151
614,1.3426e+06,40,1.6214e+05,40,486
617,11139,41,949,41,147
617,7.8233e+05,41,1.1199e+05,41,368
617,1.3178e+06,41,1.5642e+05,41,478
617,1.4208e+06,41,1.8029e+05,41,516
