Source,Target,Type,Id,Label,timeset,Weight
8059,38565,Undirected,80855,,,1
8059,38426,Undirected,80854,,,1
8059,38294,Undirected,80853,,,1
8059,30337,Undirected,80849,,,1
8059,24901,Undirected,80847,,,1
8059,24842,Undirected,80846,,,1
6380,32927,Undirected,78695,,,1
6380,28085,Undirected,78693,,,1
12066,38263,Undirected,85408,,,1
12066,30529,Undirected,85407,,,1
6945,27443,Undirected,79535,,,1
6945,32786,Undirected,79537,,,1
3308,39842,Undirected,72891,,,1
3308,32786,Undirected,72890,,,1
3308,32207,Undirected,72889,,,1
7406,34500,Undirected,80160,,,1
6943,34500,Undirected,79532,,,1
6497,34500,Undirected,78881,,,1
6318,34500,Undirected,78582,,,1
6206,34500,Undirected,78450,,,1
6200,34500,Undirected,78443,,,1
5826,34500,Undirected,77992,,,1
5821,34500,Undirected,77982,,,1
7079,35268,Undirected,79712,,,1
7079,25067,Undirected,79711,,,1
6943,40069,Undirected,79534,,,1
6943,36797,Undirected,79533,,,1
12373,31447,Undirected,85774,,,1
9913,38973,Undirected,83011,,,1
6945,39842,Undirected,79539,,,1
7835,33742,Undirected,80620,,,1
9789,25064,Undirected,82872,,,1
7835,25064,Undirected,80617,,,1
9789,36419,Undirected,82875,,,1
7835,36419,Undirected,80621,,,1
7271,32248,Undirected,79974,,,1
6760,32248,Undirected,79248,,,1
6318,32248,Undirected,78581,,,1
6315,32248,Undirected,78574,,,1
7569,34810,Undirected,80322,,,1
7569,32493,Undirected,80321,,,1
7569,24417,Undirected,80320,,,1
7788,36419,Undirected,80565,,,1
7788,25064,Undirected,80564,,,1
7406,38764,Undirected,80164,,,1
7406,37966,Undirected,80163,,,1
7406,35235,Undirected,80162,,,1
7406,35186,Undirected,80161,,,1
7406,30399,Undirected,80157,,,1
7406,29593,Undirected,80156,,,1
8023,33998,Undirected,80807,,,1
8059,35268,Undirected,80852,,,1
6206,39877,Undirected,78451,,,1
12543,37290,Undirected,85976,,,1
6497,31046,Undirected,78878,,,1
12362,24943,Undirected,85744,,,1
10795,24943,Undirected,83942,,,1
12362,38304,Undirected,85753,,,1
10795,38304,Undirected,83945,,,1
12362,38874,Undirected,85754,,,1
10795,38874,Undirected,83946,,,1
9986,38874,Undirected,83084,,,1
12362,35039,Undirected,85749,,,1
10795,35039,Undirected,83944,,,1
9986,35039,Undirected,83082,,,1
7839,35039,Undirected,80630,,,1
7839,22604,Undirected,80629,,,1
12362,39120,Undirected,85755,,,1
12362,36472,Undirected,85751,,,1
12362,36084,Undirected,85750,,,1
12362,29502,Undirected,85747,,,1
12362,24989,Undirected,85745,,,1
12886,29502,Undirected,86422,,,1
9986,37237,Undirected,83083,,,1
9986,26234,Undirected,83080,,,1
12886,37573,Undirected,86423,,,1
12362,37573,Undirected,85752,,,1
12390,36472,Undirected,85795,,,1
10754,37573,Undirected,83877,,,1
7271,32917,Undirected,79975,,,1
6366,38706,Undirected,78674,,,1
6366,38477,Undirected,78673,,,1
6366,37714,Undirected,78672,,,1
6366,37339,Undirected,78671,,,1
6366,33533,Undirected,78667,,,1
6366,32923,Undirected,78665,,,1
6366,30928,Undirected,78664,,,1
6366,30531,Undirected,78663,,,1
17724,24611,Undirected,93113,,,1
10848,24611,Undirected,83997,,,1
10305,24611,Undirected,83415,,,1
6950,24611,Undirected,79549,,,1
9730,34664,Undirected,82826,,,1
6366,34664,Undirected,78668,,,1
6338,34664,Undirected,78614,,,1
9730,32975,Undirected,82825,,,1
6366,32975,Undirected,78666,,,1
6338,32975,Undirected,78613,,,1
9730,28025,Undirected,82823,,,1
6366,28025,Undirected,78661,,,1
6338,28025,Undirected,78611,,,1
9730,35143,Undirected,82828,,,1
6366,35143,Undirected,78670,,,1
6338,35143,Undirected,78616,,,1
9730,39653,Undirected,82829,,,1
6927,39653,Undirected,79506,,,1
6366,39653,Undirected,78675,,,1
6338,39653,Undirected,78617,,,1
9986,34686,Undirected,83081,,,1
9730,34686,Undirected,82827,,,1
