Source,Target,Type,Id,Label,timeset,Weight
3406,10010,Undirected,9642,,,1
3406,9951,Undirected,9641,,,1
3406,9844,Undirected,9640,,,1
3406,9835,Undirected,9639,,,1
3406,9586,Undirected,9638,,,1
3406,9558,Undirected,9637,,,1
3406,9507,Undirected,9636,,,1
3406,9487,Undirected,9635,,,1
3406,9461,Undirected,9634,,,1
3406,9449,Undirected,9633,,,1
3406,9366,Undirected,9632,,,1
3406,9340,Undirected,9631,,,1
3406,9337,Undirected,9630,,,1
3406,8950,Undirected,9628,,,1
3406,8918,Undirected,9627,,,1
3406,8717,Undirected,9626,,,1
3406,8655,Undirected,9625,,,1
3406,8462,Undirected,9624,,,1
3406,8383,Undirected,9623,,,1
3406,8117,Undirected,9621,,,1
3406,8070,Undirected,9620,,,1
3406,7482,Undirected,9619,,,1
3406,7143,Undirected,9618,,,1
3406,7067,Undirected,9617,,,1
3406,7053,Undirected,9616,,,1
3406,6939,Undirected,9615,,,1
3406,6446,Undirected,9614,,,1
3406,5854,Undirected,9612,,,1
3406,5812,Undirected,9611,,,1
3406,5780,Undirected,9610,,,1
3406,5145,Undirected,9609,,,1
3406,5015,Undirected,9608,,,1
3406,4963,Undirected,9607,,,1
3406,4703,Undirected,9606,,,1
3406,4584,Undirected,9605,,,1
3406,4498,Undirected,9604,,,1
3406,4378,Undirected,9603,,,1
3406,4371,Undirected,9602,,,1
3406,4358,Undirected,9601,,,1
3406,4283,Undirected,9600,,,1
3406,4272,Undirected,9599,,,1
3406,4265,Undirected,9598,,,1
3406,4154,Undirected,9597,,,1
3406,4017,Undirected,9595,,,1
3406,4015,Undirected,9594,,,1
3406,3805,Undirected,9593,,,1
3406,3624,Undirected,9592,,,1
3406,3560,Undirected,9591,,,1
3389,3406,Undirected,9494,,,1
3170,3406,Undirected,8825,,,1
3114,3406,Undirected,8649,,,1
2677,3406,Undirected,7468,,,1
2633,3406,Undirected,7227,,,1
2632,3406,Undirected,7209,,,1
2590,3406,Undirected,7072,,,1
2472,3406,Undirected,6754,,,1
2144,3406,Undirected,5920,,,1
2114,3406,Undirected,5786,,,1
1867,3406,Undirected,5158,,,1
1486,3406,Undirected,4223,,,1
1121,3406,Undirected,3318,,,1
971,3406,Undirected,2815,,,1
965,3406,Undirected,2711,,,1
758,3406,Undirected,2196,,,1
264,3406,Undirected,811,,,1
162,3406,Undirected,523,,,1
3805,10010,Undirected,10852,,,1
3114,10010,Undirected,8666,,,1
2114,10010,Undirected,5829,,,1
1867,10010,Undirected,5167,,,1
1486,10010,Undirected,4239,,,1
1360,10010,Undirected,3931,,,1
965,10010,Undirected,2723,,,1
408,10010,Undirected,1294,,,1
4832,11515,Undirected,13934,,,1
441,12497,Undirected,1423,,,1
441,12330,Undirected,1422,,,1
441,12272,Undirected,1421,,,1
441,12263,Undirected,1420,,,1
441,12178,Undirected,1419,,,1
441,12019,Undirected,1418,,,1
441,11986,Undirected,1417,,,1
441,11817,Undirected,1416,,,1
441,11498,Undirected,1415,,,1
441,11479,Undirected,1414,,,1
441,11118,Undirected,1413,,,1
441,10979,Undirected,1412,,,1
441,10936,Undirected,1411,,,1
441,10872,Undirected,1410,,,1
441,10451,Undirected,1409,,,1
441,10444,Undirected,1408,,,1
441,10367,Undirected,1407,,,1
441,9857,Undirected,1406,,,1
441,9461,Undirected,1405,,,1
441,9449,Undirected,1404,,,1
441,9434,Undirected,1403,,,1
441,8467,Undirected,1401,,,1
441,7143,Undirected,1400,,,1
441,7067,Undirected,1399,,,1
441,7050,Undirected,1398,,,1
441,7031,Undirected,1397,,,1
441,6806,Undirected,1396,,,1
441,5940,Undirected,1395,,,1
441,4886,Undirected,1394,,,1
441,4826,Undirected,1393,,,1
441,4594,Undirected,1392,,,1
441,4584,Undirected,1391,,,1
441,4492,Undirected,1390,,,1
441,4284,Undirected,1389,,,1
441,4272,Undirected,1388,,,1
441,4155,Undirected,1386,,,1
441,4044,Undirected,1385,,,1
441,3765,Undirected,1384,,,1
441,3762,Undirected,1383,,,1
441,3632,Undirected,1382,,,1
441,3406,Undirected,1381,,,1
441,3388,Undirected,1380,,,1
441,3231,Undirected,1379,,,1
441,3230,Undirected,1378,,,1
441,3200,Undirected,1377,,,1
441,3104,Undirected,1376,,,1
441,2069,Undirected,1375,,,1
441,969,Undirected,1374,,,1
441,561,Undirected,1373,,,1
3388,6806,Undirected,9477,,,1
1132,6806,Undirected,3381,,,1
1132,9488,Undirected,3384,,,1
4492,9739,Undirected,12995,,,1
4364,9761,Undirected,12689,,,1
4186,9761,Undirected,12079,,,1
4025,9761,Undirected,11578,,,1
1102,9761,Undirected,3263,,,1
4699,8117,Undirected,13548,,,1
4498,8117,Undirected,13026,,,1
4371,8117,Undirected,12714,,,1
4017,8117,Undirected,11532,,,1
4015,8117,Undirected,11467,,,1
4013,8117,Undirected,11440,,,1
3805,8117,Undirected,10842,,,1
3389,8117,Undirected,9514,,,1
3078,8117,Undirected,8538,,,1
2634,8117,Undirected,7299,,,1
2633,8117,Undirected,7247,,,1
2590,8117,Undirected,7085,,,1
2114,8117,Undirected,5814,,,1
1360,8117,Undirected,3924,,,1
1109,8117,Undirected,3276,,,1
639,8117,Undirected,1904,,,1
408,8117,Undirected,1290,,,1
264,12961,Undirected,833,,,1
264,12906,Undirected,832,,,1
264,12584,Undirected,831,,,1
264,11331,Undirected,830,,,1
264,11142,Undirected,829,,,1
264,9768,Undirected,826,,,1
264,9487,Undirected,825,,,1
264,8950,Undirected,823,,,1
264,8621,Undirected,822,,,1
264,8462,Undirected,821,,,1
264,8117,Undirected,820,,,1
264,7482,Undirected,819,,,1
264,6446,Undirected,817,,,1
264,5145,Undirected,816,,,1
264,4349,Undirected,815,,,1
264,4283,Undirected,814,,,1
264,4015,Undirected,813,,,1
264,4013,Undirected,812,,,1
264,3170,Undirected,810,,,1
264,3114,Undirected,809,,,1
264,3029,Undirected,808,,,1
264,2634,Undirected,807,,,1
264,1360,Undirected,806,,,1
264,1121,Undirected,805,,,1
264,971,Undirected,804,,,1
264,758,Undirected,803,,,1
4450,11823,Undirected,12903,,,1
4450,8384,Undirected,12902,,,1
4450,6085,Undirected,12901,,,1
3658,11823,Undirected,10432,,,1
3658,10072,Undirected,10431,,,1
3658,9428,Undirected,10430,,,1
3658,8385,Undirected,10429,,,1
3658,8384,Undirected,10428,,,1
3658,7092,Undirected,10427,,,1
3658,6085,Undirected,10426,,,1
3658,4450,Undirected,10425,,,1
3658,4185,Undirected,10424,,,1
3658,3766,Undirected,10423,,,1
2744,9654,Undirected,7683,,,1
2744,9235,Undirected,7682,,,1
2744,5905,Undirected,7681,,,1
2744,4707,Undirected,7680,,,1
2744,4580,Undirected,7679,,,1
