OrgFrstDriver,DesFrstDriver
974468,719172
1444131,1230157
334132,330736
1446103,1459869
58356,1342797
1263799,1275699
806067,1472866
873001,762124
1351957,1261302
519607,1385223
1319161,512606
90859,94979
315282,1311825
301694,308792
1427031,204872
347449,810187
433699,433698
1393353,54934
1480492,827974
41807,33472
1460520,818444
164771,1235571
669227,673978
1436625,643751
1245321,276379
210620,765590
768243,729280
228419,213092
941149,313078
141989,1353181
858645,1271442
182653,1475333
1237252,141034
1355664,1290767
108690,123258
652406,683738
658,550834
352537,1455734
1417696,879656
399029,1313494
580836,662482
207699,874194
1455734,1457994
480469,480464
791143,546754
24173,1424599
880866,1410427
757833,1306816
801941,833253
1432428,659617
750721,1422820
912837,9293
1403495,717137
333077,717082
1471111,842420
1296574,115864
866645,35776
1237910,318378
1264459,79987
835921,135783
1409983,1451493
529402,534092
664196,856691
314577,335643
5779,43675
748426,613375
850117,1393681
7440,724580
1407807,496108
670780,670786
435851,414780
797176,822738
1426069,276379
1245991,659084
293819,312640
162013,178045
283134,281143
107988,81084
447911,448824
1237076,861609
22312,1298217
1466937,95594
1369825,1474569
341180,771620
715583,105279
293529,298593
725329,1357975
1283178,818634
791135,165238
823599,1248704
98678,791874
1469556,11400
621271,508025
1269458,180229
1433548,1299751
321924,808819
291610,1458160
129257,129246
203305,556997
191784,358770
1317216,1236083
742868,810092
1314341,415076
643256,648374
868972,1454082
737167,720571
1348539,102542
200956,189584
705371,1423608
138133,609592
787400,320867
130249,1421045
1260017,707379
856899,1262023
842538,692392
53237,59826
1415423,704747
1454014,396393
865110,1363753
1363014,870412
1387106,195454
369452,366033
138077,40583
142474,138696
1342421,1342403
821842,1283871
1358692,1456091
883924,286246
651401,1471651
866531,1365906
273744,782415
405180,387176
417539,1302149
530329,530228
617251,1378686
1417455,469340
1473474,1461837
743717,1324702
30567,40280
28628,899896
88801,1348539
425785,1352128
790334,1354275
716720,842937
109558,99613
846789,1493152
826354,725202
396781,1476007
365223,376727
256031,1385679
352589,349822
141161,627474
750912,1235277
908319,37306
688049,1495857
764481,266360
93400,105907
1345991,1232696
12376,503337
851291,490598
866758,1311273
152236,614864
4910,26686
876540,191460
542533,645872
637207,611849
962763,1472212
796361,606332
886610,83150
758029,484690
189643,791135
1387328,1387354
95361,105052
1424423,1328432
188235,171813
122575,120496
11649,852361
479937,472552
760732,480006
1327340,187915
1393832,1234307
1265692,421751
1429776,729840
143246,308750
394438,397255
346349,376072
517096,848331
1385781,884647
1466632,855978
363989,368132
768495,1468564
1442209,311803
968141,313739
1442247,934179
835732,625328
274784,888165
519177,758314
886839,970091
295812,298867
818694,1334067
324758,332600
1371058,157449
615879,1233714
17625,356945
764505,916664
930874,889058
823944,720003
326907,317179
498332,1466492
686583,685501
706450,1256634
76851,75248
89956,908479
1071860,1388400
967554,620820
1256262,473924
315855,1324053
1442528,828875
237480,241886
1303471,864300
803216,1483450
797429,1305794
1238213,581717
136752,140571
91759,1410988
171127,166506
1368333,301072
978625,533125
422994,412379
98218,766196
865107,532872
1354033,1447083
1336537,233199
99288,106331
822937,397467
322787,319360
586196,1347278
564637,1272885
277669,273628
391997,1385243
352537,1407877
930901,1390338
64900,81310
824143,599745
834203,824632
873903,187389
320837,330664
222843,23584
549232,685122
1264227,868434
729626,742644
65679,967637
828527,736823
1406445,847559
585615,373499
248425,244107
868662,658481
322443,789833
830179,918234
1366830,427354
799820,1347278
1264171,1277053
334888,1336528
809979,42977
644982,266524
915497,238597
112218,28186
888586,210033
320659,1249789
235480,234585
1302761,312722
784091,1261270
737744,1355146
1442447,288952
1475149,552111
271682,1287351
864002,329508
1470401,701473
1370772,1383420
370205,1382663
